ID,2_1,2_2,2_3,2_4,2_5,2_all,3_1,3_2,3_3,3_all,4_1,4_2,4_3,4_4,4_all,5_1,5_2,5_3,5_4,5_5,5_6,5_all,6_1,6_2,6_3,6_4,6_5,6_6,6_7,6_8,6_9,6_all,7_1,7_2,7_3,7_4,7_all,all
1,4,5,4,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,4,5,4,4,4,4,4,4,5,5,4,4,5
2,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,5,5,5,5,4,5,4,4,4,3,5,5,5,4,4,4,4,4,5,5,5,5,5
3,3,3,4,4,4,4,4,3,4,4,3,3,3,4,3,5,5,5,5,3,3,3,3,3,3,4,4,5,4,4,4,4,5,5,4,4,4,5
4,3,4,4,4,4,3,4,3,4,3,3,4,3,2,3,5,5,5,5,4,5,4,3,3,3,3,4,4,4,3,3,3,4,5,3,4,4,4
5,4,4,4,4,5,4,4,4,4,4,4,5,5,5,4,5,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,5,5,5,5,5,4
6,4,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,4,4,4,4,4,4,4,5,5,5,5,5,4,5,5,5,5,4,4,4
7,4,4,4,4,4,4,4,4,4,4,2,4,4,3,4,4,4,4,5,4,3,3,4,3,3,4,4,4,4,4,4,4,4,4,5,4,4,4
8,3,5,4,3,4,4,5,5,4,5,3,5,5,4,4,5,5,5,4,4,4,4,3,3,1,3,2,3,4,4,3,3,5,5,5,4,5,4
9,4,4,4,4,4,3,4,4,4,4,5,5,5,4,3,5,5,5,4,4,4,4,4,5,1,4,3,4,5,4,4,4,5,5,5,5,5,4
10,4,5,5,4,5,5,5,5,5,5,2,5,5,2,3,5,5,5,5,5,5,5,3,3,5,3,4,4,4,4,4,4,4,4,5,3,4,5
11,2,4,3,2,4,4,4,2,4,4,4,4,4,2,4,4,4,4,4,4,4,2,2,2,4,4,4,4,3,3,3,3,4,4,4,3,3,3
12,4,4,4,2,4,4,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,4,4,5,5,5,5,5,5
13,1,1,1,1,1,1,2,2,2,2,4,5,4,4,5,5,5,5,5,5,5,5,2,2,5,2,5,5,4,4,2,3,3,3,5,2,4,4
14,3,3,3,2,4,3,4,4,5,4,3,2,3,3,3,5,5,5,5,4,4,3,4,4,5,4,4,4,5,3,3,4,5,5,5,5,5,5
15,4,4,4,4,5,4,5,4,5,4,4,5,5,5,2,5,5,5,5,5,5,4,4,3,5,4,5,5,5,4,4,5,5,5,4,5,4,5
16,2,3,3,3,4,3,4,4,4,4,1,3,2,2,2,5,5,5,4,4,4,3,4,2,3,2,4,3,4,4,2,4,4,4,2,3,2,4
17,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4
18,4,4,4,2,5,4,2,4,5,4,2,3,4,4,1,5,5,5,5,5,5,4,5,5,5,5,3,4,5,5,4,5,5,5,2,2,4,5
19,3,3,2,2,4,1,2,2,2,2,3,2,3,4,2,4,4,5,4,3,3,3,3,2,5,1,2,3,3,1,2,3,5,2,4,3,3,3
20,4,4,3,3,4,3,4,4,4,3,1,4,4,4,3,5,5,5,4,3,3,3,2,2,3,4,4,4,4,3,3,3,4,4,4,4,4,4
21,4,4,4,4,3,3,4,4,3,3,4,5,5,2,4,5,5,5,4,4,4,4,4,4,5,5,4,4,5,5,3,5,5,5,5,5,5,2
22,2,2,2,2,3,2,4,2,3,3,2,5,3,2,4,5,5,5,4,3,3,3,5,3,5,3,4,2,5,2,2,3,5,5,5,5,5,5
23,3,2,3,3,4,3,3,3,4,3,2,3,3,4,3,5,5,5,5,4,3,3,3,4,5,3,2,4,4,4,4,4,4,4,3,3,3,4
