ID,2_1,2_2,2_3,2_4,2_5,2_all
1,4,5,4,5,5,4
2,4,4,4,4,4,4
3,3,3,4,4,4,4
4,3,4,4,4,4,3
5,4,4,4,4,5,4
6,4,3,4,4,4,4
7,4,4,4,4,4,4
8,3,5,4,3,4,4
9,4,4,4,4,4,3
10,4,5,5,4,5,5
11,2,4,3,2,4,4
12,4,4,4,2,4,4
13,1,1,1,1,1,1
14,3,3,3,2,4,3
15,4,4,4,4,5,4
16,2,3,3,3,4,3
17,4,4,4,4,4,4
18,4,4,4,2,5,4
19,3,3,2,2,4,1
20,4,4,3,3,4,3
21,4,4,4,4,3,3
22,2,2,2,2,3,2
23,3,2,3,3,4,3
24,2,3,2,2,3,2
25,5,5,5,5,5,5
26,2,4,3,2,3,2
27,5,5,4,4,4,4
28,3,4,3,4,4,3
29,3,2,4,4,3,3
30,3,4,4,4,3,3
31,4,4,4,2,5,4
32,3,4,3,4,3,3
33,3,3,3,4,3,3
34,4,3,4,4,3,4
35,2,4,2,2,3,2
36,4,3,4,2,4,3
37,4,4,4,4,4,4
38,4,4,4,4,5,4
39,4,3,4,4,4,4
40,4,4,4,2,4,4
41,2,3,3,4,4,4
42,2,5,4,5,4,4
43,2,2,3,3,4,3
44,4,4,4,4,4,4
45,3,3,3,3,3,3
46,4,4,4,3,4,4
47,4,4,4,4,5,4
48,3,3,4,4,4,4
49,2,3,2,4,4,3
50,3,4,4,4,4,4
51,2,3,3,3,3,3
52,2,3,3,3,3,3
53,4,4,4,4,4,4
54,5,5,5,2,5,3
55,3,3,3,4,3,3
56,2,4,3,2,4,2
57,3,3,3,2,3,2
58,3,3,3,3,3,3
59,4,4,4,4,4,4
60,4,3,3,4,4,3
61,2,2,2,1,2,2
62,3,2,4,2,3,3
63,2,2,2,4,3,2
64,4,4,4,4,4,3
65,3,3,3,3,3,3
66,4,4,4,2,4,4
67,3,2,2,2,3,2
68,4,5,4,4,4,4
69,4,4,3,2,3,2
70,2,2,3,2,4,3
71,4,4,4,4,4,4
72,5,4,4,5,4,5
73,4,4,4,4,4,4
74,2,1,2,4,2,2
75,2,2,2,2,4,3
76,4,2,2,3,4,4
77,2,2,3,4,3,2
